,Sink,Source,Time Class,Time Delta,Transmission Type,Weight,Host1,Isolation Date1,State1,Subtype1,Host2,Isolation Date2,State2,Subtype2
10,A/American black duck/New Brunswick/00464/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.992878000000001,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
11,A/American black duck/New Brunswick/00467/2010,A/American black duck/New Brunswick/00608/2010,Direct Transmission,-4.0,Intra-Species,7.999567,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H3N8
12,A/American black duck/New Brunswick/00468/2010,A/American black duck/New Brunswick/00587/2010,Direct Transmission,-3.0,Intra-Species,7.99861,IRD:American Black Duck/Avian,2010-08-15 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
13,A/American black duck/New Brunswick/00469/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.996128,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
14,A/American black duck/New Brunswick/00470/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.995578,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
15,A/American black duck/New Brunswick/00472/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.998528999999999,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
16,A/American black duck/New Brunswick/00473/2010,A/American black duck/New Brunswick/00472/2010,Direct Transmission,0.0,Intra-Species,7.921324999999999,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
17,A/American black duck/New Brunswick/00476/2010,A/mallard/New Brunswick/00495/2010,Direct Transmission,0.0,Inter-Species,7.995223000000001,IRD:Mallard/Avian,2010-08-12 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,(H3)
18,A/American black duck/New Brunswick/00478/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.996189999999999,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
19,A/American black duck/New Brunswick/00481/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.9975710000000015,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
20,A/American black duck/New Brunswick/00484/2010,A/American black duck/New Brunswick/00500/2010,Direct Transmission,0.0,Intra-Species,7.9611110000000025,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H3N8
21,A/American black duck/New Brunswick/00499/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,0.0,Intra-Species,7.996644999999999,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
22,A/American black duck/New Brunswick/00500/2010,A/mallard/New Brunswick/00495/2010,Direct Transmission,0.0,Inter-Species,7.998692,IRD:Mallard/Avian,2010-08-12 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H3N8
23,A/American black duck/New Brunswick/00520/2010,A/American black duck/New Brunswick/00499/2010,Direct Transmission,0.0,Intra-Species,7.996278999999999,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6
24,A/American black duck/New Brunswick/00522/2010,A/blue-winged teal/New Brunswick/00538/2010,Direct Transmission,0.0,Inter-Species,7.998828,IRD:Teal/Avian,2010-08-13 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-13 00:00:00,New Brunswick,H3N8
25,A/American black duck/New Brunswick/00523/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,1.0,Intra-Species,7.998074000000001,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-13 00:00:00,New Brunswick,H4N6
26,A/American black duck/New Brunswick/00525/2010,A/American black duck/New Brunswick/00522/2010,Direct Transmission,0.0,Intra-Species,7.998647,IRD:American Black Duck/Avian,2010-08-13 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-13 00:00:00,New Brunswick,H3N8
27,A/American black duck/New Brunswick/00558/2010,A/mallard/New Brunswick/00495/2010,Direct Transmission,2.0,Inter-Species,7.998850999999998,IRD:Mallard/Avian,2010-08-12 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-14 00:00:00,New Brunswick,H3N8
28,A/American black duck/New Brunswick/00587/2010,A/American black duck/New Brunswick/00468/2010,Direct Transmission,3.0,Intra-Species,7.99861,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-15 00:00:00,New Brunswick,H4N6
29,A/American black duck/New Brunswick/00608/2010,A/American black duck/New Brunswick/00467/2010,Direct Transmission,4.0,Intra-Species,7.999567,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N8
30,A/American black duck/New Brunswick/00610/2010,A/American black duck/New Brunswick/00469/2010,Direct Transmission,4.0,Intra-Species,7.918621000000001,IRD:American Black Duck/Avian,2010-08-12 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,(H4)
31,A/American black duck/New Brunswick/00615/2010,A/mallard/New Brunswick/00494/2010,Direct Transmission,4.0,Inter-Species,7.919835000000001,IRD:Mallard/Avian,2010-08-12 00:00:00,New Brunswick,(N8),IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H4N8
32,A/American black duck/New Brunswick/00616/2010,A/mallard/New Brunswick/00495/2010,Direct Transmission,4.0,Inter-Species,7.9946959999999985,IRD:Mallard/Avian,2010-08-12 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N8
33,A/American black duck/New Brunswick/00617/2010,A/mallard/Wisconsin/2712/2009,Environmental Persistence,309.0,Inter-Species,7.656613,IRD:Mallard/Avian,2009-10-11 00:00:00,Wisconsin,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,(N6)
34,A/American black duck/New Brunswick/00618/2010,A/American black duck/New Brunswick/00620/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
35,A/American black duck/New Brunswick/00618/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
36,A/American black duck/New Brunswick/00619/2010,A/American black duck/New Brunswick/00618/2010,Direct Transmission,0.0,Intra-Species,7.997323,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
37,A/American black duck/New Brunswick/00619/2010,A/American black duck/New Brunswick/00620/2010,Direct Transmission,0.0,Intra-Species,7.997323,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
38,A/American black duck/New Brunswick/00619/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,7.997323,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
39,A/American black duck/New Brunswick/00620/2010,A/American black duck/New Brunswick/00618/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
40,A/American black duck/New Brunswick/00620/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
41,A/American black duck/New Brunswick/00622/2010,A/American black duck/New Brunswick/00624/2010,Direct Transmission,0.0,Intra-Species,7.998849000000001,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
42,A/American black duck/New Brunswick/00624/2010,A/American black duck/New Brunswick/00618/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
43,A/American black duck/New Brunswick/00624/2010,A/American black duck/New Brunswick/00620/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6,IRD:American Black Duck/Avian,2010-08-16 00:00:00,New Brunswick,H3N6
44,A/American black duck/New Brunswick/00687/2010,A/American black duck/Prince Edward Island/00673/2010,Direct Transmission,5.0,Intra-Species,7.999567999999999,IRD:American Black Duck/Avian,2010-08-04 00:00:00,Prince Edward Island,H3N8,IRD:American Black Duck/Avian,2010-08-09 00:00:00,New Brunswick,H3N8
45,A/American black duck/New Brunswick/00886/2010,A/mallard/New Brunswick/00879/2010,Direct Transmission,1.0,Inter-Species,7.979344,IRD:Mallard/Avian,2010-09-12 00:00:00,New Brunswick,H4N9,IRD:American Black Duck/Avian,2010-09-13 00:00:00,New Brunswick,H4N9
46,A/American black duck/New Brunswick/00906/2010,A/American black duck/New Brunswick/00909/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7
47,A/American black duck/New Brunswick/00906/2010,A/mallard-black duck hybrid/New Brunswick/00904/2010,Direct Transmission,0.0,Inter-Species,8.0,IRD:Mallard-Black Duck Hybrid/Avian,2010-09-14 00:00:00,New Brunswick,H10N7,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7
48,A/American black duck/New Brunswick/00909/2010,A/American black duck/New Brunswick/00906/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7
49,A/American black duck/New Brunswick/00909/2010,A/mallard-black duck hybrid/New Brunswick/00904/2010,Direct Transmission,0.0,Inter-Species,8.0,IRD:Mallard-Black Duck Hybrid/Avian,2010-09-14 00:00:00,New Brunswick,H10N7,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7
50,A/American black duck/New Brunswick/00924/2010,A/American black duck/New Brunswick/00906/2010,Direct Transmission,1.0,Intra-Species,7.9880619999999976,IRD:American Black Duck/Avian,2010-09-14 00:00:00,New Brunswick,H10N7,IRD:American Black Duck/Avian,2010-09-15 00:00:00,New Brunswick,H10N7
51,A/American black duck/New Brunswick/00949/2010,A/mallard/Wisconsin/2653/2009,Environmental Persistence,333.0,Inter-Species,7.782525,IRD:Mallard/Avian,2009-10-17 00:00:00,Wisconsin,H4N6,IRD:American Black Duck/Avian,2010-09-15 00:00:00,New Brunswick,H4N6
52,A/American black duck/New Brunswick/00953/2010,A/blue-winged teal/Nova Scotia/00074/2010,Direct Transmission,8.0,Inter-Species,7.9984259999999985,IRD:Teal/Avian,2010-09-07 00:00:00,Nova Scotia,H3N8,IRD:American Black Duck/Avian,2010-09-15 00:00:00,New Brunswick,H3N8
53,A/American black duck/New Brunswick/00953/2010,A/blue-winged teal/Nova Scotia/00077/2010,Direct Transmission,8.0,Inter-Species,7.9984259999999985,IRD:Teal/Avian,2010-09-07 00:00:00,Nova Scotia,H3N8,IRD:American Black Duck/Avian,2010-09-15 00:00:00,New Brunswick,H3N8
54,A/American black duck/New Brunswick/00986/2010,A/American black duck/New Brunswick/00991/2010,Direct Transmission,0.0,Intra-Species,7.9177240000000015,IRD:American Black Duck/Avian,2010-09-16 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-09-16 00:00:00,New Brunswick,H4N6
55,A/American black duck/New Brunswick/00991/2010,A/American black duck/New Brunswick/00986/2010,Direct Transmission,0.0,Intra-Species,7.9177240000000015,IRD:American Black Duck/Avian,2010-09-16 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2010-09-16 00:00:00,New Brunswick,H4N6
56,A/American black duck/New Brunswick/03395/2009,A/American black duck/New Brunswick/03408/2009,Direct Transmission,-1.0,Intra-Species,7.995895,IRD:American Black Duck/Avian,2009-08-10 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2009-08-09 00:00:00,New Brunswick,H3N8
57,A/American black duck/New Brunswick/03398/2009,A/American black duck/New Brunswick/03408/2009,Direct Transmission,-1.0,Intra-Species,7.999136,IRD:American Black Duck/Avian,2009-08-10 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2009-08-09 00:00:00,New Brunswick,H3N8
58,A/American black duck/New Brunswick/03408/2009,A/American black duck/New Brunswick/03398/2009,Direct Transmission,1.0,Intra-Species,7.999136,IRD:American Black Duck/Avian,2009-08-09 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2009-08-10 00:00:00,New Brunswick,H3N8
59,A/American black duck/New Brunswick/03509/2009,A/American black duck/New Brunswick/03398/2009,Environmental Persistence,32.0,Intra-Species,7.999425,IRD:American Black Duck/Avian,2009-08-09 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2009-09-10 00:00:00,New Brunswick,H3N8
60,A/American black duck/New Brunswick/03511/2009,A/American black duck/New Brunswick/03552/2009,Direct Transmission,-1.0,Intra-Species,7.998703999999999,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2009-09-10 00:00:00,New Brunswick,H4N6
61,A/American black duck/New Brunswick/03552/2009,A/American black duck/New Brunswick/03553/2009,Direct Transmission,0.0,Intra-Species,7.999136,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6
62,A/American black duck/New Brunswick/03553/2009,A/American black duck/New Brunswick/03552/2009,Direct Transmission,0.0,Intra-Species,7.999136,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6
63,A/American black duck/New Brunswick/03554/2009,A/American black duck/New Brunswick/03552/2009,Direct Transmission,0.0,Intra-Species,7.965876,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6
64,A/American black duck/New Brunswick/03556/2009,A/American black duck/New Brunswick/03552/2009,Direct Transmission,0.0,Intra-Species,7.996239,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6,IRD:American Black Duck/Avian,2009-09-11 00:00:00,New Brunswick,H4N6
65,A/American black duck/Nova Scotia/00086/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,7.998841,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
66,A/American black duck/Nova Scotia/00086/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,7.998841,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
67,A/American black duck/Nova Scotia/00086/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,7.998841,IRD:Teal/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
68,A/American black duck/Nova Scotia/00086/2010,A/mallard/New Brunswick/00349/2010,Environmental Persistence,33.0,Inter-Species,7.998841,IRD:Mallard/Avian,2010-08-08 00:00:00,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
69,A/American black duck/Nova Scotia/00086/2010,A/mallard/Nova Scotia/00346/2010,Environmental Persistence,33.0,Inter-Species,7.998841,IRD:Mallard/Avian,2010-08-08 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
70,A/American black duck/Nova Scotia/00089/2010,A/blue-winged teal/Nova Scotia/00126/2010,Direct Transmission,0.0,Inter-Species,8.0,IRD:Teal/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
71,A/American black duck/Nova Scotia/00090/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
72,A/American black duck/Nova Scotia/00090/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,8.0,IRD:Teal/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
73,A/American black duck/Nova Scotia/00090/2010,A/mallard/New Brunswick/00349/2010,Environmental Persistence,33.0,Inter-Species,8.0,IRD:Mallard/Avian,2010-08-08 00:00:00,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
74,A/American black duck/Nova Scotia/00090/2010,A/mallard/Nova Scotia/00346/2010,Environmental Persistence,33.0,Inter-Species,8.0,IRD:Mallard/Avian,2010-08-08 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
75,A/American black duck/Nova Scotia/00091/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,7.998694,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
76,A/American black duck/Nova Scotia/00091/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,7.998694,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
77,A/American black duck/Nova Scotia/00091/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,7.998694,IRD:Teal/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
78,A/American black duck/Nova Scotia/00091/2010,A/mallard/New Brunswick/00349/2010,Environmental Persistence,33.0,Inter-Species,7.998694,IRD:Mallard/Avian,2010-08-08 00:00:00,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
79,A/American black duck/Nova Scotia/00091/2010,A/mallard/Nova Scotia/00346/2010,Environmental Persistence,33.0,Inter-Species,7.998694,IRD:Mallard/Avian,2010-08-08 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
80,A/American black duck/Nova Scotia/00092/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
81,A/American black duck/Nova Scotia/00092/2010,A/blue-winged teal/Nova Scotia/00121/2010,Direct Transmission,0.0,Inter-Species,8.0,IRD:Teal/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
82,A/American black duck/Nova Scotia/00092/2010,A/mallard/New Brunswick/00349/2010,Environmental Persistence,33.0,Inter-Species,8.0,IRD:Mallard/Avian,2010-08-08 00:00:00,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
83,A/American black duck/Nova Scotia/00092/2010,A/mallard/Nova Scotia/00346/2010,Environmental Persistence,33.0,Inter-Species,8.0,IRD:Mallard/Avian,2010-08-08 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
84,A/American black duck/Nova Scotia/00094/2010,A/American black duck/Nova Scotia/00098/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
85,A/American black duck/Nova Scotia/00096/2010,A/American black duck/Nova Scotia/00090/2010,Direct Transmission,0.0,Intra-Species,7.9995460000000005,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
86,A/American black duck/Nova Scotia/00096/2010,A/American black duck/Nova Scotia/00092/2010,Direct Transmission,0.0,Intra-Species,7.9995460000000005,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
87,A/American black duck/Nova Scotia/00096/2010,A/mallard/New Brunswick/00349/2010,Environmental Persistence,33.0,Inter-Species,7.9995460000000005,IRD:Mallard/Avian,2010-08-08 00:00:00,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
88,A/American black duck/Nova Scotia/00098/2010,A/American black duck/Nova Scotia/00094/2010,Direct Transmission,0.0,Intra-Species,8.0,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
89,A/American black duck/Nova Scotia/00099/2010,A/mallard/New Brunswick/00349/2010,Environmental Persistence,33.0,Inter-Species,7.998411,IRD:Mallard/Avian,2010-08-08 00:00:00,New Brunswick,H1N1,IRD:American Black Duck/Avian,2010-09-10 00:00:00,Nova Scotia,H1N1
90,A/American black duck/Nova Scotia/03273/2009,A/mallard/Nova Scotia/03271/2009,Direct Transmission,0.0,Inter-Species,7.993410000000001,IRD:Mallard/Avian,2009-08-06 00:00:00,Nova Scotia,H3N8,IRD:American Black Duck/Avian,2009-08-06 00:00:00,Nova Scotia,H3N8
91,A/American black duck/Prince Edward Island/00672/2010,A/American black duck/Prince Edward Island/00673/2010,Direct Transmission,0.0,Intra-Species,7.999567999999999,IRD:American Black Duck/Avian,2010-08-04 00:00:00,Prince Edward Island,H3N8,IRD:American Black Duck/Avian,2010-08-04 00:00:00,Prince Edward Island,H3N8
92,A/American black duck/Prince Edward Island/00673/2010,A/American black duck/New Brunswick/00687/2010,Direct Transmission,-5.0,Intra-Species,7.999567999999999,IRD:American Black Duck/Avian,2010-08-09 00:00:00,New Brunswick,H3N8,IRD:American Black Duck/Avian,2010-08-04 00:00:00,Prince Edward Island,H3N8
