,Collection Date,Complete Genome,Country,Host Species,Sequence Accession,Sequence Accession2,Sequence Accession3,Sequence Accession4,Sequence Accession5,Sequence Accession6,Sequence Accession7,Sequence Accession8,State/Province,Strain Name,Subtype
10,8/11/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138873,CY138872,CY138871,CY138866,CY138869,CY138868,CY138867,CY138870,-N/A-,A/American black duck/New Brunswick/00454/2010,H3N8
11,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138052,CY138051,CY138050,CY138045,CY138048,CY138047,CY138046,CY138049,-N/A-,A/American black duck/New Brunswick/00464/2010,H4N6
12,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138881,CY138880,CY138879,CY138874,CY138877,CY138876,CY138875,CY138878,-N/A-,A/American black duck/New Brunswick/00467/2010,H3N8
13,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138889,CY138888,CY138887,CY138882,CY138885,CY138884,CY138883,CY138886,-N/A-,A/American black duck/New Brunswick/00468/2010,H4N6
14,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138897,CY138896,CY138895,CY138890,CY138893,CY138892,CY138891,CY138894,-N/A-,A/American black duck/New Brunswick/00469/2010,H4N6
15,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138905,CY138904,CY138903,CY138898,CY138901,CY138900,CY138899,CY138902,-N/A-,A/American black duck/New Brunswick/00470/2010,H4N6
17,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138921,CY138920,CY138919,CY138914,CY138917,CY138916,CY138915,CY138918,-N/A-,A/American black duck/New Brunswick/00472/2010,H4N6
18,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138060,CY138059,CY138058,CY138053,CY138056,CY138055,CY138054,CY138057,-N/A-,A/American black duck/New Brunswick/00473/2010,H4N6
19,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138932,CY138931,CY138930,CY138922,CY138927,CY138925,CY138924,CY138928,-N/A-,A/American black duck/New Brunswick/00476/2010,(H3)
20,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138940,CY138939,CY138938,CY138933,CY138936,CY138935,CY138934,CY138937,-N/A-,A/American black duck/New Brunswick/00477/2010,H10N6
21,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138948,CY138947,CY138946,CY138941,CY138944,CY138943,CY138942,CY138945,-N/A-,A/American black duck/New Brunswick/00478/2010,H4N6
22,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138956,CY138955,CY138954,CY138949,CY138952,CY138951,CY138950,CY138953,-N/A-,A/American black duck/New Brunswick/00481/2010,H4N6
23,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138964,CY138963,CY138962,CY138957,CY138960,CY138959,CY138958,CY138961,-N/A-,A/American black duck/New Brunswick/00484/2010,H3N8
24,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138972,CY138971,CY138970,CY138965,CY138968,CY138967,CY138966,CY138969,-N/A-,A/American black duck/New Brunswick/00485/2010,H3N8
26,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138991,CY138990,CY138989,CY138984,CY138987,CY138986,CY138985,CY138988,-N/A-,A/American black duck/New Brunswick/00487/2010,H4N8
28,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139039,CY139038,CY139037,CY139032,CY139035,CY139034,CY139033,CY139036,-N/A-,A/American black duck/New Brunswick/00499/2010,H4N6
29,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139047,CY139046,CY139045,CY139040,CY139043,CY139042,CY139041,CY139044,-N/A-,A/American black duck/New Brunswick/00500/2010,H3N8
31,8/12/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139066,CY139065,CY139064,CY139059,CY139062,CY139061,CY139060,CY139063,-N/A-,A/American black duck/New Brunswick/00520/2010,H4N6
32,8/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139074,CY139073,CY139072,CY139067,CY139070,CY139069,CY139068,CY139071,-N/A-,A/American black duck/New Brunswick/00522/2010,H3N8
33,8/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139082,CY139081,CY139080,CY139075,CY139078,CY139077,CY139076,CY139079,-N/A-,A/American black duck/New Brunswick/00523/2010,H4N6
34,8/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138072,CY138071,CY138070,CY138065,CY138068,CY138067,CY138066,CY138069,-N/A-,A/American black duck/New Brunswick/00525/2010,H3N8
35,8/14/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139090,CY139089,CY139088,CY139083,CY139086,CY139085,CY139084,CY139087,-N/A-,A/American black duck/New Brunswick/00558/2010,H3N8
36,8/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139098,CY139097,CY139096,CY139091,CY139094,CY139093,CY139092,CY139095,-N/A-,A/American black duck/New Brunswick/00587/2010,H4N6
37,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139114,CY139113,CY139112,CY139107,CY139110,CY139109,CY139108,CY139111,-N/A-,A/American black duck/New Brunswick/00608/2010,H3N8
38,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139123,CY139122,CY139121,CY139115,CY139119,CY139117,CY139116,CY139120,-N/A-,A/American black duck/New Brunswick/00610/2010,(H4)
39,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139131,CY139130,CY139129,CY139124,CY139127,CY139126,CY139125,CY139128,-N/A-,A/American black duck/New Brunswick/00612/2010,H10N7
40,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139139,CY139138,CY139137,CY139132,CY139135,CY139134,CY139133,CY139136,-N/A-,A/American black duck/New Brunswick/00614/2010,H3N8
41,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139147,CY139146,CY139145,CY139140,CY139143,CY139142,CY139141,CY139144,-N/A-,A/American black duck/New Brunswick/00615/2010,H4N8
42,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139155,CY139154,CY139153,CY139148,CY139151,CY139150,CY139149,CY139152,-N/A-,A/American black duck/New Brunswick/00616/2010,H3N8
43,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139164,CY139163,CY139162,CY139156,CY139160,CY139159,CY139157,CY139161,-N/A-,A/American black duck/New Brunswick/00617/2010,(N6)
44,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139172,CY139171,CY139170,CY139165,CY139168,CY139167,CY139166,CY139169,-N/A-,A/American black duck/New Brunswick/00618/2010,H3N6
45,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139180,CY139179,CY139178,CY139173,CY139176,CY139175,CY139174,CY139177,-N/A-,A/American black duck/New Brunswick/00619/2010,H3N6
46,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139188,CY139187,CY139186,CY139181,CY139184,CY139183,CY139182,CY139185,-N/A-,A/American black duck/New Brunswick/00620/2010,H3N6
48,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139206,CY139205,CY139204,CY139199,CY139202,CY139201,CY139200,CY139203,-N/A-,A/American black duck/New Brunswick/00622/2010,H3N6
49,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139214,CY139213,CY139212,CY139207,CY139210,CY139209,CY139208,CY139211,-N/A-,A/American black duck/New Brunswick/00623/2010,H4N8
50,8/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139222,CY139221,CY139220,CY139215,CY139218,CY139217,CY139216,CY139219,-N/A-,A/American black duck/New Brunswick/00624/2010,H3N6
51,8/9/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139246,CY139245,CY139244,CY139239,CY139242,CY139241,CY139240,CY139243,-N/A-,A/American black duck/New Brunswick/00687/2010,H3N8
52,9/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139334,CY139333,CY139332,CY139327,CY139330,CY139329,CY139328,CY139331,-N/A-,A/American black duck/New Brunswick/00867/2010,H5N2
54,9/13/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139376,CY139375,CY139374,CY139369,CY139372,CY139371,CY139370,CY139373,-N/A-,A/American black duck/New Brunswick/00886/2010,H4N9
55,9/14/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139392,CY139391,CY139390,CY139385,CY139388,CY139387,CY139386,CY139389,-N/A-,A/American black duck/New Brunswick/00906/2010,H10N7
56,9/14/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139400,CY139399,CY139398,CY139393,CY139396,CY139395,CY139394,CY139397,-N/A-,A/American black duck/New Brunswick/00909/2010,H10N7
58,9/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139428,CY139427,CY139426,CY139421,CY139424,CY139423,CY139422,CY139425,-N/A-,A/American black duck/New Brunswick/00924/2010,H10N7
60,9/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138080,CY138079,CY138078,CY138073,CY138076,CY138075,CY138074,CY138077,-N/A-,A/American black duck/New Brunswick/00949/2010,H4N6
63,9/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139466,CY139465,CY139464,CY139459,CY139462,CY139461,CY139460,CY139463,-N/A-,A/American black duck/New Brunswick/00953/2010,H3N8
64,9/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139475,CY139474,CY139473,CY139467,CY139470,CY139469,CY139468,CY139471,-N/A-,A/American black duck/New Brunswick/00954/2010,(H4)
65,9/15/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138088,CY138087,CY138086,CY138081,CY138084,CY138083,CY138082,CY138085,-N/A-,A/American black duck/New Brunswick/00955/2010,H4N8
66,9/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139496,CY139495,CY139494,CY139489,CY139492,CY139491,CY139490,CY139493,-N/A-,A/American black duck/New Brunswick/00971/2010,H10N6
67,9/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139512,CY139511,CY139510,CY139505,CY139508,CY139507,CY139506,CY139509,-N/A-,A/American black duck/New Brunswick/00986/2010,H4N6
70,9/16/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139538,CY139537,CY139536,CY139531,CY139534,CY139533,CY139532,CY139535,-N/A-,A/American black duck/New Brunswick/00991/2010,H4N6
71,9/17/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139557,CY139556,CY139555,CY139550,CY139553,CY139552,CY139551,CY139554,-N/A-,A/American black duck/New Brunswick/00998/2010,H12N6
72,8/9/2009,Yes,Canada,IRD:American Black Duck/Avian,CY129021,CY129020,CY129019,CY129014,CY129017,CY129016,CY129015,CY129018,-N/A-,A/American black duck/New Brunswick/03395/2009,H3N8
73,8/9/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128989,CY128988,CY128987,CY128982,CY128985,CY128984,CY128983,CY128986,-N/A-,A/American black duck/New Brunswick/03398/2009,H3N8
74,8/10/2009,Yes,Canada,IRD:American Black Duck/Avian,CY129013,CY129012,CY129011,CY129006,CY129009,CY129008,CY129007,CY129010,-N/A-,A/American black duck/New Brunswick/03408/2009,H3N8
75,8/12/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128957,CY128956,CY128955,CY128950,CY128953,CY128952,CY128951,CY128954,-N/A-,A/American black duck/New Brunswick/03451/2009,H3N9
76,9/9/2009,Yes,Canada,IRD:American Black Duck/Avian,CY129037,CY129036,CY129035,CY129030,CY129033,CY129032,CY129031,CY129034,-N/A-,A/American black duck/New Brunswick/03495/2009,H3N8
77,9/10/2009,Yes,Canada,IRD:American Black Duck/Avian,CY129029,CY129028,CY129027,CY129022,CY129025,CY129024,CY129023,CY129026,-N/A-,A/American black duck/New Brunswick/03509/2009,H3N8
78,9/10/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128981,CY128980,CY128979,CY128974,CY128977,CY128976,CY128975,CY128978,-N/A-,A/American black duck/New Brunswick/03511/2009,H4N6
84,9/11/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128997,CY128996,CY128995,CY128990,CY128993,CY128992,CY128991,CY128994,-N/A-,A/American black duck/New Brunswick/03552/2009,H4N6
85,9/11/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128973,CY128972,CY128971,CY128966,CY128969,CY128968,CY128967,CY128970,-N/A-,A/American black duck/New Brunswick/03553/2009,H4N6
86,9/11/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128555,CY128554,CY128553,CY128548,CY128551,CY128550,CY128549,CY128552,-N/A-,A/American black duck/New Brunswick/03554/2009,H4N6
87,9/11/2009,Yes,Canada,IRD:American Black Duck/Avian,CY128539,CY128538,CY128537,CY128532,CY128535,CY128534,CY128533,CY128536,-N/A-,A/American black duck/New Brunswick/03556/2009,H4N6
89,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138535,CY138534,CY138533,CY138528,CY138531,CY138530,CY138529,CY138532,-N/A-,A/American black duck/Nova Scotia/00083/2010,H1N1
90,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138559,CY138558,CY138557,CY138552,CY138555,CY138554,CY138553,CY138556,-N/A-,A/American black duck/Nova Scotia/00086/2010,H1N1
91,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138575,CY138574,CY138573,CY138568,CY138571,CY138570,CY138569,CY138572,-N/A-,A/American black duck/Nova Scotia/00089/2010,H1N1
92,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138583,CY138582,CY138581,CY138576,CY138579,CY138578,CY138577,CY138580,-N/A-,A/American black duck/Nova Scotia/00090/2010,H1N1
93,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138591,CY138590,CY138589,CY138584,CY138587,CY138586,CY138585,CY138588,-N/A-,A/American black duck/Nova Scotia/00091/2010,H1N1
94,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138599,CY138598,CY138597,CY138592,CY138595,CY138594,CY138593,CY138596,-N/A-,A/American black duck/Nova Scotia/00092/2010,H1N1
95,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138615,CY138614,CY138613,CY138608,CY138611,CY138610,CY138609,CY138612,-N/A-,A/American black duck/Nova Scotia/00094/2010,H1N1
96,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138623,CY138622,CY138621,CY138616,CY138619,CY138618,CY138617,CY138620,-N/A-,A/American black duck/Nova Scotia/00096/2010,H1N1
97,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138631,CY138630,CY138629,CY138624,CY138627,CY138626,CY138625,CY138628,-N/A-,A/American black duck/Nova Scotia/00098/2010,H1N1
98,9/10/2010,Yes,Canada,IRD:American Black Duck/Avian,CY138639,CY138638,CY138637,CY138632,CY138635,CY138634,CY138633,CY138636,-N/A-,A/American black duck/Nova Scotia/00099/2010,H1N1
99,8/6/2009,Yes,Canada,IRD:American Black Duck/Avian,CY125629,CY125628,CY125627,CY125622,CY125625,CY125624,CY125623,CY125626,-N/A-,A/American black duck/Nova Scotia/03273/2009,H3N8
100,8/4/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139230,CY139229,CY139228,CY139223,CY139226,CY139225,CY139224,CY139227,-N/A-,A/American black duck/Prince Edward Island/00672/2010,H3N8
101,8/4/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139238,CY139237,CY139236,CY139231,CY139234,CY139233,CY139232,CY139235,-N/A-,A/American black duck/Prince Edward Island/00673/2010,H3N8
102,8/25/2010,Yes,Canada,IRD:American Black Duck/Avian,CY139286,CY139285,CY139284,CY139279,CY139282,CY139281,CY139280,CY139283,-N/A-,A/American black duck/Prince Edward Island/00788/2010,H3N8
103,11/18/2010,Yes,USA,IRD:American Black Duck/Avian,CY133281,CY133280,CY133279,CY133274,CY133277,CY133276,CY133275,CY133278,Wisconsin,A/American black duck/Wisconsin/10OS3949/2010,H7N8
104,10/5/2009,Yes,USA,IRD:American Black Duck/Avian,CY096985,CY096984,CY096983,CY096978,CY096981,CY096980,CY096979,CY096982,Wisconsin,A/American black duck/Wisconsin/2542/2009,H4N2
105,10/31/2009,Yes,USA,IRD:Coot/Avian,CY097166,CY097165,CY097164,CY097159,CY097162,CY097161,CY097160,CY097163,Illinois,A/American coot/Illinois/3405/2009,H10N3
106,9/4/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY132900,CY132899,CY132898,CY132893,CY132896,CY132895,CY132894,CY132897,Illinois,A/American green-winged teal/Illinois/10OS1551/2010,H4N6
107,9/5/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY132924,CY132923,CY132922,CY132917,CY132920,CY132919,CY132918,CY132921,Illinois,A/American green-winged teal/Illinois/10OS1598/2010,H4N8
108,10/30/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY132980,CY132979,CY132978,CY132973,CY132976,CY132975,CY132974,CY132977,Illinois,A/American green-winged teal/Illinois/10OS3329/2010,H7N7
109,10/30/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY132996,CY132995,CY132994,CY132989,CY132992,CY132991,CY132990,CY132993,Illinois,A/American green-winged teal/Illinois/10OS3343/2010,H2N3
110,10/30/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY133004,CY133003,CY133002,CY132997,CY133000,CY132999,CY132998,CY133001,Illinois,A/American green-winged teal/Illinois/10OS3368/2010,H7N7
111,10/30/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY133020,CY133019,CY133018,CY133013,CY133016,CY133015,CY133014,CY133017,Illinois,A/American green-winged teal/Illinois/10OS3589/2010,H6N2
112,10/31/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY133536,CY133535,CY133534,CY133529,CY133532,CY133531,CY133530,CY133533,Illinois,A/American green-winged teal/Illinois/10OS3662/2010,H11N2
113,11/27/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY133044,CY133043,CY133042,CY133037,CY133040,CY133039,CY133038,CY133041,Illinois,A/American green-winged teal/Illinois/10OS4014/2010,H7N3
114,10/17/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY097210,CY097209,CY097208,CY097203,CY097206,CY097205,CY097204,CY097207,Illinois,A/American green-winged teal/Illinois/2479/2009,H2N3
115,10/17/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY096933,CY096932,CY096931,CY096923,CY096929,CY096926,CY096925,CY096930,Illinois,A/American green-winged teal/Illinois/2975/2009,(H10)
117,10/17/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY097202,CY097201,CY097200,CY097195,CY097198,CY097197,CY097196,CY097199,Illinois,A/American green-winged teal/Illinois/3054/2009,H1N2
119,7/13/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY130476,CY130475,CY130474,CY130469,CY130472,CY130471,CY130470,CY130473,Alaska,A/American green-winged teal/Interior Alaska/10BM04207R0/2010,H3N6
120,7/22/2010,Yes,USA,IRD:Green-Winged Teal/Avian,CY135678,CY135677,CY135676,CY135671,CY135674,CY135673,CY135672,CY135675,Alaska,A/American green-winged teal/Interior Alaska/10BM05165R0/2010,H4N6
121,7/25/2010,Yes,USA,IRD:Green-Winged Teal/Avian,CY135736,CY135735,CY135734,CY135729,CY135732,CY135731,CY135730,CY135733,Alaska,A/American green-winged teal/Interior Alaska/10BM05376R0/2010,H3N8
126,7/26/2010,Yes,USA,IRD:Green-Winged Teal/Avian,CY135225,CY135224,CY135223,CY135217,CY135221,CY135220,CY135218,CY135222,Alaska,A/American green-winged teal/Interior Alaska/10BM05440R0/2010,(H3)
127,7/26/2010,Yes,USA,IRD:Green-Winged Teal/Avian,CY135234,CY135233,CY135232,CY135226,CY135230,CY135229,CY135227,CY135231,Alaska,A/American green-winged teal/Interior Alaska/10BM05441R0/2010,(H3)
128,7/30/2010,Yes,USA,IRD:Green-Winged Teal/Avian,CY136050,CY136049,CY136048,CY136043,CY136046,CY136045,CY136044,CY136047,Alaska,A/American green-winged teal/Interior Alaska/10BM06728R0/2010,H4N6
129,7/31/2010,Yes,USA,IRD:Green-Winged Teal/Avian,CY136026,CY136025,CY136024,CY136019,CY136022,CY136021,CY136020,CY136023,Alaska,A/American green-winged teal/Interior Alaska/10BM07000R0/2010,H4N6
130,8/2/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143491,CY143490,CY143489,CY143484,CY143487,CY143486,CY143485,CY143488,Alaska,A/American green-winged teal/Interior Alaska/10BM07573R0/2010,H3N8
131,8/2/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143507,CY143506,CY143505,CY143500,CY143503,CY143502,CY143501,CY143504,Alaska,A/American green-winged teal/Interior Alaska/10BM07649R0/2010,H3N8
132,8/3/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143523,CY143522,CY143521,CY143516,CY143519,CY143518,CY143517,CY143520,Alaska,A/American green-winged teal/Interior Alaska/10BM07863R0/2010,H4N6
133,8/3/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143531,CY143530,CY143529,CY143524,CY143527,CY143526,CY143525,CY143528,Alaska,A/American green-winged teal/Interior Alaska/10BM07917R0/2010,H3N8
134,8/4/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143555,CY143554,CY143553,CY143548,CY143551,CY143550,CY143549,CY143552,Alaska,A/American green-winged teal/Interior Alaska/10BM08134R0/2010,H3N8
135,8/4/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143563,CY143562,CY143561,CY143556,CY143559,CY143558,CY143557,CY143560,Alaska,A/American green-winged teal/Interior Alaska/10BM08222R0/2010,H3N8
136,8/4/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143571,CY143570,CY143569,CY143564,CY143567,CY143566,CY143565,CY143568,Alaska,A/American green-winged teal/Interior Alaska/10BM08226R0/2010,H4N6
137,8/4/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143579,CY143578,CY143577,CY143572,CY143575,CY143574,CY143573,CY143576,Alaska,A/American green-winged teal/Interior Alaska/10BM08228R0/2010,H3N8
138,8/4/2010,Yes,USA,IRD:Green-winged Teal/Avian,CY143587,CY143586,CY143585,CY143580,CY143583,CY143582,CY143581,CY143584,Alaska,A/American green-winged teal/Interior Alaska/10BM08422R0/2010,H3N8
140,9/2/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY143177,CY143176,CY143175,CY143170,CY143173,CY143172,CY143171,CY143174,Alaska,A/American green-winged teal/Interior Alaska/9BM12318R0/2009,H3N8
141,9/2/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY143201,CY143200,CY143199,CY143194,CY143197,CY143196,CY143195,CY143198,Alaska,A/American green-winged teal/Interior Alaska/9BM12356R0/2009,H3N8
142,9/6/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY143451,CY143450,CY143449,CY143444,CY143447,CY143446,CY143445,CY143448,Alaska,A/American green-winged teal/Interior Alaska/9BM12714R1/2009,H3N8
143,7/23/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY135462,CY135461,CY135460,CY135455,CY135458,CY135457,CY135456,CY135459,Alaska,A/American green-winged teal/Interior Alaska/9BM3595R1/2009,H10N7
144,7/27/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY135406,CY135405,CY135404,CY135399,CY135402,CY135401,CY135400,CY135403,Alaska,A/American green-winged teal/Interior Alaska/9BM4407R0/2009,H10N7
145,7/29/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY135534,CY135533,CY135532,CY135527,CY135530,CY135529,CY135528,CY135531,Alaska,A/American green-winged teal/Interior Alaska/9BM5041R0/2009,H4N6
146,7/29/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY135542,CY135541,CY135540,CY135535,CY135538,CY135537,CY135536,CY135539,Alaska,A/American green-winged teal/Interior Alaska/9BM5045R0/2009,H8N4
147,7/30/2009,Yes,USA,IRD:Green-Winged Teal/Avian,CY135558,CY135557,CY135556,CY135551,CY135554,CY135553,CY135552,CY135555,Alaska,A/American green-winged teal/Interior Alaska/9BM5277R0/2009,H4N6
148,8/3/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY142617,CY142616,CY142615,CY142610,CY142613,CY142612,CY142611,CY142614,Alaska,A/American green-winged teal/Interior Alaska/9BM6258R0/2009,H4N6
149,8/3/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY142633,CY142632,CY142631,CY142626,CY142629,CY142628,CY142627,CY142630,Alaska,A/American green-winged teal/Interior Alaska/9BM6410R0/2009,H3N8
150,8/9/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY142977,CY142976,CY142975,CY142970,CY142973,CY142972,CY142971,CY142974,Alaska,A/American green-winged teal/Interior Alaska/9BM8129R0/2009,H4N6
152,9/12/2009,Yes,USA,IRD:Green-winged Teal/Avian,CY140859,CY140858,CY140857,CY140852,CY140855,CY140854,CY140853,CY140856,Minnesota,A/American green-winged teal/Minnesota/AI09-3589/2009,H6N1
154,1/15/2011,Yes,USA,IRD:Green-winged Teal/Avian,CY133676,CY133675,CY133674,CY133669,CY133672,CY133671,CY133670,CY133673,Mississippi,A/American green-winged teal/Mississippi/11OS250/2011,H7N3
155,1/15/2011,Yes,USA,IRD:Green-winged Teal/Avian,CY133684,CY133683,CY133682,CY133677,CY133680,CY133679,CY133678,CY133681,Mississippi,A/American green-winged teal/Mississippi/11OS255/2011,H7N7
156,1/15/2011,Yes,USA,IRD:Green-winged Teal/Avian,CY133692,CY133691,CY133690,CY133685,CY133688,CY133687,CY133686,CY133689,Mississippi,A/American green-winged teal/Mississippi/11OS256/2011,H1N1
